,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
139,"Saturday, Sep 10",SEA,Home,ATL,W,3.0,1.0,9.0,78-61,2.0,11.0,Kirby,Fried,Sewald,2:49,N,44965.0,.67,1,
140,"Sunday, Sep 11",SEA,Home,ATL,W-wo,8.0,7.0,9.0,79-61,2.0,11.0,Sewald,Jansen,None,3:24,D,45245.0,.57,2,
141,"Tuesday, Sep 13",SEA,Home,SDP,L,0.0,2.0,9.0,79-62,2.0,12.5,Darvish,Gilbert,Hader,3:04,N,34740.0,.49,-1,
142,"Wednesday, Sep 14",SEA,Home,SDP,W,6.0,1.0,9.0,80-62,2.0,12.5,Castillo,Clevinger,None,2:53,D,24238.0,.62,1,
143,"Friday, Sep 16",SEA,@,LAA,L,7.0,8.0,9.0,80-63,2.0,14.0,Lorenzen,Ray,Tepera,3:29,N,37480.0,.60,-1,
144,"Saturday, Sep 17",SEA,@,LAA,L,1.0,2.0,9.0,80-64,2.0,14.0,Ohtani,Kirby,Loup,2:48,N,35538.0,.54,-2,
145,"Sunday, Sep 18",SEA,@,LAA,L,1.0,5.0,9.0,80-65,2.0,15.0,Detmers,Gonzales,None,2:43,D,24929.0,.58,-3,
146,"Monday, Sep 19",SEA,@,LAA,W,9.0,1.0,9.0,81-65,2.0,15.0,Gilbert,Suarez,None,3:08,D,15594.0,.80,1,
147,"Tuesday, Sep 20",SEA,@,OAK,L,1.0,4.0,9.0,81-66,2.0,16.0,Sears,Castillo,Acevedo,2:49,N,4251.0,.58,-1,
148,"Wednesday, Sep 21",SEA,@,OAK,L,1.0,2.0,9.0,81-67,2.0,17.0,Kaprielian,Swanson,Acevedo,2:39,N,4030.0,.55,-2,
149,"Thursday, Sep 22",SEA,@,OAK,W,9.0,5.0,9.0,82-67,2.0,16.0,Boyd,Snead,None,3:22,D,4696.0,.62,1,
150,"Friday, Sep 23",SEA,@,KCR,L,1.0,5.0,9.0,82-68,2.0,16.0,Singer,Gonzales,None,2:29,N,13615.0,.61,-1,
151,"Saturday, Sep 24",SEA,@,KCR,W,6.0,5.0,9.0,83-68,2.0,16.0,Sewald,Keller,Munoz,3:25,N,25237.0,.80,1,
152,"Sunday, Sep 25",SEA,@,KCR,L,12.0,13.0,9.0,83-69,2.0,17.0,Cuas,Swanson,Barlow,3:43,D,18350.0,.52,-1,
153,"Tuesday, Sep 27",SEA,Home,TEX,L,0.0,5.0,9.0,83-70,2.0,18.0,Miller,Ray,None,3:22,N,23221.0,.49,-2,
154,"Wednesday, Sep 28",SEA,Home,TEX,W,3.0,1.0,9.0,84-70,2.0,17.0,Kirby,Perez,Sewald,2:34,N,21863.0,.47,1,
155,"Thursday, Sep 29",SEA,Home,TEX,W-wo,10.0,9.0,11.0,85-70,2.0,16.5,Flexen,King,None,3:48,N,21094.0,.43,2,
156,"Friday, Sep 30",SEA,Home,OAK,W-wo,2.0,1.0,9.0,86-70,2.0,15.5,Brash,Acevedo,None,2:47,N,44754.0,.38,3,
157,"Saturday, Oct 1",SEA,Home,OAK,W,5.0,1.0,9.0,87-70,2.0,15.5,Castillo,Oller,None,2:36,D,42512.0,.39,4,
158,"Sunday, Oct 2",SEA,Home,OAK,L,3.0,10.0,9.0,87-71,2.0,16.5,Kaprielian,Ray,None,3:11,D,42465.0,.41,-1,
159,"Monday, Oct 3",SEA,Home,DET,L,3.0,4.0,9.0,87-72,2.0,16.5,Garcia,Kirby,Chafin,3:11,N,23463.0,.18,-2,
160,"Tuesday, Oct 4 (1)",SEA,Home,DET,W-wo,7.0,6.0,10.0,88-72,2.0,16.0,Torrens,Soto,None,3:24,D,,.02,1,
161,"Tuesday, Oct 4 (2)",SEA,Home,DET,W,9.0,6.0,9.0,89-72,2.0,16.0,Sheffield,Rodriguez,Castillo,3:22,D,24564.0,.02,2,
162,"Wednesday, Oct 5",SEA,Home,DET,W-wo,5.0,4.0,9.0,90-72,2.0,16.0,Swanson,Soto,None,2:48,D,22053.0,.03,3,
